CaseNum,RYCohort,donatesum,SpouseAlum,SportsAlum,UGAlumAwards,OtherUGAct,EverAssigned,BoardMember,ChildAlum,ParentAlum,SiblingAlum,GradDegree,TotalReunions,OnePlusEvents,Years Lapsed
379,1969,0,0,0,0,0,0,0,1,0,0,0,0,0,48
380,1959,1,0,1,0,1,1,1,1,0,0,1,7,1,0
381,1969,0,0,0,0,0,0,0,0,0,0,0,2,0,48
382,1969,1,1,0,0,0,0,0,0,0,0,1,3,1,3
383,1969,1,1,0,0,0,0,1,0,0,0,0,1,1,3
384,1964,0,0,0,0,0,0,0,0,0,0,0,0,1,24
385,1959,2,0,1,0,1,0,1,1,0,0,0,5,1,9
386,1969,1,0,0,0,0,0,0,0,0,0,0,0,0,1
387,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
388,1969,1,0,0,0,0,0,0,0,0,0,0,1,1,3
389,1964,0,0,0,0,0,0,0,0,0,1,0,0,0,48
390,1969,2,0,0,0,0,1,1,1,0,1,1,1,1,0
391,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,48
392,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,48
393,1964,0,0,0,0,0,0,0,0,0,0,0,1,0,5
394,1954,2,0,1,0,1,1,1,1,0,1,0,9,1,1
395,1964,0,0,0,0,0,0,0,0,0,1,0,0,0,48
396,1969,1,0,0,0,0,0,0,1,0,1,0,5,1,1
397,1969,2,0,0,0,0,1,1,0,0,0,0,2,1,1
398,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,48
399,1964,0,0,1,1,0,0,0,1,0,0,1,1,1,48
400,1964,0,0,1,0,0,0,0,1,0,0,1,1,0,30
401,1954,1,0,1,0,1,1,1,1,0,0,0,9,1,4
402,1964,0,0,0,0,0,0,0,0,0,0,0,1,0,31
403,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,48
